                            ,,,,,,,,,,,,
,M.N. ,                                                                                                                 DATE 26-AUG-16,,,,,,,,,,
,FROM   : SLDC GOTRI TO WRLDC MUMBAI,,,,,,,,,,,
,FAX NO: 0222 8202630 / 93,,,,,,,,,,,
,                                                 Daily Generation Data for the Date,,25-Aug-16,,,,,,,,,
,,,,,,,,,,,,
,      POWER STATION,,GEN MUS,PEAK MW,      POWER STATION,,GEN MUS,PEAK MW,,,,
,UTPS,1,0,0,UHPS,1,0,0,,,,
,,2,0,0,,2,0,0,,,,
,,3,0,0,,3,0,0,,,,
,,4,3.694,150,,4,0,0,,,,
,,5,0,0,,TOTAL,0.607,76,,,,
,,6,8.656,362,KHPS,1,0,0,,,,
,,TOTAL,12.35,512,,2,0,0,,,,
,GTPS,1,0,0,,3,0,0,,,,
,,2,0,0,,4,0,0,,,,
,,3,0,0,,TOTAL,5.037,202,,,,
,,4,0,0,LBC + PANAM,,0.061,2,,,,
,,5,4.106,171,PVT HYDRO,,0.126,5,,,,
,,TOTAL,4.106,171,AECO,C,0,0,,,,
,WTPS,1,0,0,,D,2.322,82,,,,
,,2,0,0,,E,2.325,80,,,,
,,3,0,0,,F,2.626,80,,,,
,,4,0,0,,GT1,0,0,,,,
,,5,0,0,,GT2,0,0,,,,
,,6,0,0,,STG1,0,0,,,,
,,7,0,0,,TOTAL,7.2731,242,,,,
,,,  ,,SUGEN,1,8.3,356,,,,
,,TOTAL,0,0,,2,0,0,,,,
,DTPS,1,0,0,,3,0,0,,,,
,,2,0,0,,TOTAL,8.3,356,,,,
,,3,0,0,UNOSUGEN,,0,0,,,,
,,4,0,0,GIPCL-I,GT1,0,N.A.,,,,
,,5,0,0,,GT2,0,N.A.,,,,
,,6,0,0,,GT3,0,N.A.,,,,
,,TOTAL,0,0,,STG1,0,N.A.,,,,
,STPS,1,0,0,,TOTAL,1.602,66,,,,
,,2,0,0,GIPCL-II,GT4,0,N.A.,,,,
,,3,0,0,,STG2,0,N.A.,,,,
,,4,0,0,,TOTAL,0,0,,,,
,,TOTAL,0,0,ESSAR,GT1,0,N.A.,,,,
,KLTPS,1,0,0,,GT2,0,N.A.,,,,
,,2,0,0,,GT3,0,N.A.,,,,
,,3,0,0,,STG1,0,N.A.,,,,
,,4,0,0,,TOTAL,0,0,,,,
,,TOTAL,0,0,GPEC,GT1,0,N.A.,,,,
,UTRAN-I,GT1,0,0,,GT2,0,N.A.,,,,
,,GT2,0,0,,GT3,0,N.A.,,,,
,,GT3,0,0,,STG1,0,N.A.,,,,
,,STG,0,0,,TOTAL,0,0,,,,
,,TOTAL,0,0,GSEG I,,0,0,,,,
,UTRAN-II,GT1,0,0,GSEG II,,0,0,,,,
,,STG1,0,0,GIPCL (M) ,SLPP,5.336,221,,,,
,,TOTAL,0,0,AKRIMOTA,,4.421,189,,,,
,DCCGP,GT1,0,0,APL,,70.529,3236,,,,
,,STG1,0,0,EPGL,,9.545,391,,,,
,,GT2,0,0,GPPC,,0,0,,,,
,,STG2,0,0,OPGS,,6.194,269,,,,
,,GT3,0,0,BECL,,0,0,,,,
,,STG3,0,0,CPP,,0.308,10,,,,
,,TOTAL,0,0,WIND FARM,,26.179,26.179,,,,
,,,,,SOLAR ENERGY,,3.281,0,,,,
,,,,,BIOMASS  ,,0,0,,,,
,,,,,TTL IPP +CPP +W/F + SOLAR ENERGY + BIOMASS,,143.093,6949,,,,
1,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FROM   : SLDC GOTRI TO WRLDC MUMBAI,,,,,,,,,,,,
FAX NO: 0222 8202630 / 93,,,,,,,,,,,,
                                                 Daily Generation Data for the Date 25-AUG-16,,,,,,,,,,,,
POWER STATION,GEN / FLOW MUS,PEAK MW,POWER STATION,GEN / FLOW MUS,,PEAK MW,,,,,,
SSP-ASJ,11.764,557,KAWAS,0,,0,,,,,,
SSP-KASOR,6.697,364,ZANOR TO GUJ,2.844,,116,,,,,,
TAPS,0.73,70,ZANOR TO HAZIRA,-9.049,,-390,,,,,,
NASIK,-2.28,-48,NET  ZANOR,-6.205,,-274,,,,,,
INDORE ASOJ,10.629,538,KAPP,0,,0,,,,,,
  KANSARI KANKROLI - BHINMAL,-1.495,-47,CGPL,70.88,,2949,,,,,,
VAPI-BOISER,0.739,-51,DGEN INJECTION,0,,0,,,,,,
  NAGDA DEHGAM,7.589,422,  APL HVDC,-46.857,,-2015,,,,,,
  VADODARA INDORE,18.116,867,KASORRAJGADH,8.068,,436,,,,,,
  VADODARA DHULE,-7.558,-168,,,,,,,,,,
DD & DNH,25.173,,TOTAL,45.645,,2465,,,,,,
,,,,,,,,,,,,
POWER STATION,GEN MUs,PEAK MW,,,,,,,,,,
CATERED,210.898,9303,,,,,,,,,,
TIME,N/A,1,,,,,,,,,,
LOAD SHEDDING,0,0,,,,,,,,,,
RESTRICTED DEMAND,210.898,9303,,,,,,,,,,
UN-RESTRICTED DEMAND,210.898,9303,,,,,,,,,,
ESSAR TO GEB MUs,0,,,,,,,,,,,
WIND FARM ENERGY MUS,26.179,,,,,,,,,,,
SOLAR ENERGY   MUS,3.281,,,,,,,,,,,
RESERVOIR DATA,,,,,,,,,,,,
,UKAI,,KADANA,,,,,,,,,
LEVEL IN FEET,335.15,,416.5,,,,,,,,,
ENERGY IN MUs,578.842,,113.216,,,,,,,,,
LAST YEAR LEVEL IN FEET,334.32,,415.8,,,,,,,,,
ENERGY IN MUs,564.608,,109.436,,,,,,,,,
,,,,,,,,,,,,
HOURS,GROUP,3-PHASE,,,,,,,,,,
POWER,NORTH GUJARAT,8,,,,,,,,,,
SUPPLY,WEST GUJARAT,9.45,,,,,,,,,,
HOURS,CENTRAL GUJARAT,10,,,,,,,,,,
,SOUTH  GUJARAT,8,,,,,,,,,,
1,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,FROM   : SLDC GOTRI TO WRLDC MUMBAI,,,,,,,,,,,
,FAX NO: 0222 8202630 / 93,,,,,,,,,,,
,                         Daily Generation Data for the Date 25-AUG-16,,,,,,,,,,,
,,,,,,,,,,,,
